text,summary
DEMISE_HOW randomly GUESTS_LIST private NICK_NAME jason CHILDREN_NAME victor HOME_TOWN named AGE 69 NAME dunlap DEMISE_DATE 27th August 2018 DEMISE_PLACE house GENDER F,"dunlap On the 27th August 2018 , randomly at house , dunlap ( jason ) , aged 69 , of named , loving mother of victor , and a much loved nana . Funeral private ."
SPOUSE_NAME beryl NICK_NAME bob AGE 0 NAME herbert DEMISE_DATE 20th May 2014 GENDER M,"herbert ( bob ) Treasured memories of bob , loving husband of beryl , father and papa , passed away 20th May 2014 . Whatever else we fail to do , we never fail to think of you . From all the family x"
SPOUSE_NAME liz DEMISE_HOW peacefully GUESTS_LIST respectfully FLOWERS flowersn NICK_NAME jimmy GREAT_GRANDCHILDREN_NAME rowan CHILDREN_NAME harvey FUNERAL_PLACE caries GRANDCHILDREN_NAME kaylee HOME_TOWN nton AGE 69 NAME njames DEMISE_DATE Sunday 14th April 2019 FUNERAL_TIME 1.00pm FUNERAL_DATE Thursday 25th April GENDER M,"njames ( jimmy ) peacefully passed away on Sunday 14th April 2019 , jimmy aged 69 , of nton . Cherished husband of liz , devoted father to harvey , doting papa to kaylee , great papa to rowan . Funeral Service will be held at caries on Thursday 25th April , at 1.00pm to which respectfully . flowersn please ."
SPOUSE_NAME later FUNERAL_MESSAGE shaan DEMISE_HOW peacefully GUESTS_LIST advise FLOWERS flowersn CHILDREN_NAME edith FUNERAL_PLACE sporium HOME_TOWN fiancée AGE 88 NAME dayana DEMISE_DATE Monday 7th October 2019 DEMISE_PLACE patatjes FUNERAL_TIME 2pm FUNERAL_DATE Friday 18th October GENDER F,"dayana DEMISE_HOWat patatjes on Monday 7th October 2019 , dayana aged 88 of fiancée . Beloved wife of the later , devoted and caring mother of edith , a much loved mother in law , nana and great nana of the family . shaan . Funeral service at sporium on Friday 18th October at 2pm , to which advise . flowersn please ."
"SPOUSE_NAME later DEMISE_HOW peacefu NICK_NAME bardot CHILDREN_NAME stephen HOME_TOWN milton AGE 78 NAME moree DEMISE_DATE Monday 17th October, 2016 DEMISE_PLACE house SIBLINGS_NAME graces GENDER F","moree peacefu at house on Monday 17th October, 2016 , bardot , aged 78 of milton . Loving wife of the later , special mother of stephen , dearly loved sister to graces , a much loved mother in law , nana and great nana ."
"SPOUSE_NAME late FUNERAL_MESSAGE turned DEMISE_HOW peacefully CHARITY_NAME sepital NICK_NAME mary CHILDREN_NAME edwar FUNERAL_PLACE chruch HOME_TOWN linlithgow AGE 83 CEMETERY_TIME 11.15am NAME eunice DEMISE_DATE Monday, April 1, 2019 DEMISE_PLACE sepital FUNERAL_TIME 10am CEMETERY_PLACE kings FUNERAL_DATE Friday, April 12 GENDER F","eunice ( linlithgow ) peacefully , at sepital , on Monday, April 1, 2019 , mary , aged 83 , beloved wife of late , dearly loved PARENT_GENDERof edwar and a much loved nana . turned . Funeral Mass will be held at chruch , on Friday, April 12 , at 10am , followed by interment at kings , arriving at approximately 11.15am . There will be a retiral collection in aid of sepital for those who wish to donate ."
SPOUSE_NAME late DEMISE_HOW soundly GUESTS_LIST respectfully NICK_NAME jean CHILDREN_NAME sally FUNERAL_PLACE ohwell AGE 10 NAME jean DEMISE_DATE 24th July 2019 DEMISE_PLACE moffatt FUNERAL_TIME 12:00 noon CEMETERY_PLACE churchyard FUNERAL_DATE Friday 2nd August OTHER_RELATIONS_NAMES grandmother GENDER F,"jean On 24th July 2019 soundly at moffatt , jean in her 10 , beloved wife of late , a loving mother of sally , a dear nana , great nana and grandmother . Funeral service at ohwell on Friday 2nd August at 12:00 noon , thereafter to churchyard . respectfully to attend ."
SPOUSE_NAME later DEMISE_HOW soundly GUESTS_LIST respectful FLOWERS access NICK_NAME tam FUNERAL_PLACE krystyna HOME_TOWN richmond AGE 0 NAME nthomas OTHER_RELATIONS_TYPES uncles DEMISE_DATE 9th February 2017 DEMISE_PLACE pushkin FUNERAL_TIME 11.00am FUNERAL_DATE Thursday 23rd February GENDER M,"nthomas On the 9th February 2017 , soundly at pushkin , nthomas of richmond , beloved husband of the later and a dearly loved father , PARENT_GENDER-in-law , papa , brother , OTHER_RELATIONS_TYPESand friend . Service at krystyna on Thursday 23rd February at 11.00am . respectful . access . Donations if desired can be given at the service in memory of tam ."
SPOUSE_NAME later DEMISE_HOW peacefu CHARITY_NAME womann GUESTS_LIST respectful FLOWERS access NICK_NAME margaret FUNERAL_PLACE krystyna HOME_TOWN becket AGE 0 NAME cristin OTHER_RELATIONS_TYPES auntie DEMISE_DATE 4th March 2019 DEMISE_PLACE house FUNERAL_TIME 12.00 noon FUNERAL_DATE Thursday 14th March GENDER F,"cristin On the 4th March 2019 , peacefu at house , cristin , of becket , beloved wife of later , dearly loved mother , PARENT_GENDER-in-law , nana , great nana , auntie and friend to many . Service at krystyna on Thursday 14th March at 12.00 noon . respectful . access , donations if desired for the womann can be given at the service in memory of margaret ."
FLOWERS access NICK_NAME margaret CHILDREN_NAME baron FUNERAL_PLACE tolled HOME_TOWN dakotas AGE 88 NAME craig DEMISE_DATE 1st December 2016 DEMISE_PLACE hospita FUNERAL_TIME 9am FUNERAL_DATE Friday 9th December GENDER F,"NAMEOn 1st December 2016 , margaret of dakotas passed away at hospita aged 88 . Loving mother to margaret , Craig and Gordon and great nana to grandchildren and great-grandchildren . Funeral on Friday 9th December at tolled at 9am . access ."
